date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:02:47	163932/163932	---M-Z	200	added ('OK')	text/html	etag:%222805c-62a4ea0d0ab54-gzip%22	https://coderthemes.com/highdmin/layouts/index.html	/Users/kayishlm/code/tugas-matkul/ppl/project-ppl/template/coderthemes.com/highdmin/layouts/index.html	(from )
18:02:48	278/278	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2013%20Nov%202025%2011:02:48%20GMT	https://coderthemes.com/robots.txt		(from )
18:02:49	37848/37848	---M-Z	200	added ('OK')	text/css	etag:%2293d8-62a4ea0cc84d5-gzip%22	https://coderthemes.com/highdmin/layouts/assets/css/vendor.min.css	/Users/kayishlm/code/tugas-matkul/ppl/project-ppl/template/coderthemes.com/highdmin/layouts/assets/css/vendor.min.css	(from https://coderthemes.com/highdmin/layouts/index.html)
18:02:49	106487/106487	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2219ff7-62a4ea0cd2115%22	https://coderthemes.com/highdmin/layouts/assets/images/favicon.ico	/Users/kayishlm/code/tugas-matkul/ppl/project-ppl/template/coderthemes.com/highdmin/layouts/assets/images/favicon.ico	(from https://coderthemes.com/highdmin/layouts/index.html)
18:02:51	462132/462132	---M-Z	200	added ('OK')	text/css	etag:%2270d34-62a4ea0cc84d5-gzip%22	https://coderthemes.com/highdmin/layouts/assets/css/app.min.css	/Users/kayishlm/code/tugas-matkul/ppl/project-ppl/template/coderthemes.com/highdmin/layouts/assets/css/app.min.css	(from https://coderthemes.com/highdmin/layouts/index.html)
18:02:51	128296/128296	---M-Z	200	added ('OK')	text/css	etag:%221f528-62a4ea0cc84d5-gzip%22	https://coderthemes.com/highdmin/layouts/assets/css/icons.min.css	/Users/kayishlm/code/tugas-matkul/ppl/project-ppl/template/coderthemes.com/highdmin/layouts/assets/css/icons.min.css	(from https://coderthemes.com/highdmin/layouts/index.html)
18:02:52	1389/1389	---M-Z	200	added ('OK')	application/javascript	etag:%2256d-62a4ea0cdadb4-gzip%22	https://coderthemes.com/highdmin/layouts/assets/js/config.js	/Users/kayishlm/code/tugas-matkul/ppl/project-ppl/template/coderthemes.com/highdmin/layouts/assets/js/config.js	(from https://coderthemes.com/highdmin/layouts/index.html)
18:02:53	3775/3775	---M--	200	added ('OK')	image/png	etag:%22ebf-62a4ea0cd6f34%22	https://coderthemes.com/highdmin/layouts/assets/images/logo.png	/Users/kayishlm/code/tugas-matkul/ppl/project-ppl/template/coderthemes.com/highdmin/layouts/assets/images/logo.png	(from https://coderthemes.com/highdmin/layouts/index.html)
18:02:54	6309/6309	---M--	200	added ('OK')	image/png	etag:%2218a5-62a4ea0cd6f34%22	https://coderthemes.com/highdmin/layouts/assets/images/logo-sm.png	/Users/kayishlm/code/tugas-matkul/ppl/project-ppl/template/coderthemes.com/highdmin/layouts/assets/images/logo-sm.png	(from https://coderthemes.com/highdmin/layouts/index.html)
18:02:55	3791/3791	---M--	200	added ('OK')	image/png	etag:%22ecf-62a4ea0cd6f34%22	https://coderthemes.com/highdmin/layouts/assets/images/logo-dark.png	/Users/kayishlm/code/tugas-matkul/ppl/project-ppl/template/coderthemes.com/highdmin/layouts/assets/images/logo-dark.png	(from https://coderthemes.com/highdmin/layouts/index.html)
18:02:56	7050/7050	---M--	200	added ('OK')	image/jpeg	etag:%221b8a-62480805049dc%22	https://coderthemes.com/highdmin/layouts/assets/images/users/avatar-1.jpg	/Users/kayishlm/code/tugas-matkul/ppl/project-ppl/template/coderthemes.com/highdmin/layouts/assets/images/users/avatar-1.jpg	(from https://coderthemes.com/highdmin/layouts/index.html)
18:02:57	113361/113361	---M-Z	200	added ('OK')	text/html	etag:%221bad1-62a4ea0cc6595-gzip%22	https://coderthemes.com/highdmin/layouts/apps-calendar.html	/Users/kayishlm/code/tugas-matkul/ppl/project-ppl/template/coderthemes.com/highdmin/layouts/apps-calendar.html	(from https://coderthemes.com/highdmin/layouts/index.html)
18:02:58	182921/182921	---M-Z	200	added ('OK')	text/html	etag:%222ca89-631237ef0574a-gzip%22	https://coderthemes.com/highdmin/layouts/apps-email.html	/Users/kayishlm/code/tugas-matkul/ppl/project-ppl/template/coderthemes.com/highdmin/layouts/apps-email.html	(from https://coderthemes.com/highdmin/layouts/index.html)
18:02:59	174627/174627	---M-Z	200	added ('OK')	text/html	etag:%222aa23-62a4ea0cc7535-gzip%22	https://coderthemes.com/highdmin/layouts/apps-file-manager.html	/Users/kayishlm/code/tugas-matkul/ppl/project-ppl/template/coderthemes.com/highdmin/layouts/apps-file-manager.html	(from https://coderthemes.com/highdmin/layouts/index.html)
18:03:00	153049/153049	---M-Z	200	added ('OK')	text/html	etag:%22255d9-62a4ea0cc7535-gzip%22	https://coderthemes.com/highdmin/layouts/apps-tickets.html	/Users/kayishlm/code/tugas-matkul/ppl/project-ppl/template/coderthemes.com/highdmin/layouts/apps-tickets.html	(from https://coderthemes.com/highdmin/layouts/index.html)
